x,y,z,label,family,region
0.52971966,0.526667092,0.914171542,Mairasi [zrs],Tanah Merah-Mairasi,Papuanesia
0.285025707,0.455902009,0.678439103,Una [mtg],Trans New Guinea,Papuanesia
0.608379496,0.581800482,0.895399112,Kolana [kvw],Timor-Alor-Pantar,Papuanesia
0.522251836,0.772887701,0.618947787,Oirata [oia],Timor-Alor-Pantar,Papuanesia
0.629076637,0.449552523,0.918032952,Tanglapui [tpg],Timor-Alor-Pantar,Papuanesia
0.604456791,0.490876648,0.712550287,Kamang [woi],Timor-Alor-Pantar,Papuanesia
0.334177619,0.416017268,0.846777838,Ekagi [ekg],Trans New Guinea,Papuanesia
0.29896886,1,0.459298071,Trumai [tpy],Trumai,South America
0.108034166,0.333179421,0.392810257,Barasano [bsn],Tucanoan,South America
0.186530365,0.309524403,0.345120726,Cubeo [cub],Tucanoan,South America
0.351701539,0.189141599,0.798687466,Tunica [tun],Tunica,North America
0.665160653,0.498391479,0.828140593,Guarani [gug],Tupi,South America
0.471809006,0.485563881,0.799057422,Urubu-Kaapor [urb],Tupi,South America
0.36666858,0.59417239,0.179802513,Estonian [est],Uralic,Eurasia
0.352499179,0.561969246,0.170052838,Finnish [fin],Uralic,Eurasia
0.253982947,0.602153194,0.365305707,Sami [sme],Uralic,Eurasia
0.136833153,0.50895007,0.302473242,Nenets [yrk],Uralic,Eurasia
0.200688128,0.478805951,0.479322147,Nganasan [nio],Uralic,Eurasia
0.374230137,0.515248796,0.230515774,Hungarian [hun],Uralic,Eurasia
0.364520634,0.524189939,0.42213972,Khanty [kca],Uralic,Eurasia
0.700398015,0.291760338,0.281669151,Pipil [ppl],Uto-Aztecan,North America
0.343403775,0.605836132,0.306674261,Yaqui_Arizona [yaq],Uto-Aztecan,North America
0.149124393,0.408415168,0.596357226,Hopi [hop],Uto-Aztecan,North America
0.181311899,0.306131619,0.458187415,Comanche [com],Uto-Aztecan,North America
0.309568908,0.114026109,0.553865818,Kawaiisu [xaw],Uto-Aztecan,North America
0.158851831,0.285190196,0.636654029,Paiute_Northern [pao],Uto-Aztecan,North America
0.191309917,0.319758187,0.38972554,Tümpisa [par],Uto-Aztecan,North America
0.225776849,0.315922928,0.537381146,Ute [ute],Uto-Aztecan,North America
0.225303595,0.225915363,0.532181984,Cahuilla [chl],Uto-Aztecan,North America
0.20832077,0.774969174,0.479436608,Hup [jup],Nadahup,South America
0.639083733,0.42817484,0.228647724,Makah [myh],Wakashan,North America
0.266512532,0.553291096,0.685969632,Waorani [auc],Waorani,South America
0.262329122,0.645556416,0.486097319,Warao [wba],Warao,South America
0.287420373,0.300974452,0.667622817,Washo [was],Washo,North America
0.339303419,0.342362925,0.983460075,Iha [ihp],Trans New Guinea,Papuanesia
0.520165666,0.429844089,0.77942408,Mor [moq],Mor,Papuanesia
0.750070632,0.615872174,0.683637697,Hatam [had],Hatam,Papuanesia
0.824820743,0.628005134,0.655797242,Mpur [akc],West Papuan,Papuanesia
0.829137891,0.401169452,0.63824576,Sahu [saj],West Papuan,Papuanesia
0.79752953,0.631626365,0.658953614,Ternate [tft],West Papuan,Papuanesia
0.81267566,0.455867947,0.749107582,Tidore [tvo],West Papuan,Papuanesia
0.736025792,0.415070086,0.77413685,Tobelo [tlb],West Papuan,Papuanesia
0.851442153,0.511778121,0.604395066,West Makian [mqs],West Papuan,Papuanesia
0.728764077,0.859725289,0.612055228,Abun [kgr],West Papuan,Papuanesia
0.849987478,0.558084126,0.573094126,Mamanwa [mmn],1,Papuanesia
0.321700419,0.895366175,0.626596103,Sanuma [xsu],Yanomami,South America
0.532000128,0.627328113,0.91004876,Yawa [yva],West Papuan,Papuanesia
0.4109044,0.195194606,0.330711081,Ket [ket],Dene-Yeniseic,Eurasia
0.454255934,0.30208781,0.935616602,Yuchi [yuc],Yuchi,North America
0.209629564,0.499354568,0.479991372,Yukaghir [ykg],Yukaghir,Eurasia
0.276944334,0.730699812,0.304367985,Zuni [zun],Zuni,North America
0.248428624,0.478049376,0.724297546,Damal [uhn],Damal,Papuanesia
0.317647202,0.385396725,0.840590582,Lani [dnw],Trans New Guinea,Papuanesia
0.883505645,0.27440508,0.691309061,Ata [ata],Ata,Papuanesia
0.265044991,0.268612761,0.331222531,Touo [tqu],Touo,Papuanesia
0.707852116,0.749340327,0.325151913,Tok Pisin [tpi],creole,Papuanesia
0.740097001,0.515840105,0.518518683,Papuan Malay [pmy],creole,Papuanesia
0.757402758,0.790514239,0.353388456,Ndyuka [djk],creole,South America
0.681545674,0.774195043,0.385806024,Sranan [srn],creole,South America
0.371933468,0.542099006,0.225962792,Latin [lat],3,Eurasia
0.197468665,0.421279028,0.399900941,Kurux [kru],Dravidian,Eurasia
0.821755098,0.64382744,0.316102092,Puyuma [pyu],1,Papuanesia
0.120576216,0.548180539,0.439144787,Kazakh [kaz],Turkic,Eurasia
0.198486522,0.710703749,0.509460873,Manange [nmm],2,Eurasia
0.592237286,0.902041591,0.401276291,Shanghai [wuu],2,Eurasia
0.139158057,0.581889007,0.410896988,Spiti [bod-2],2,Eurasia
0.172207542,0.579346367,0.377074618,Kanashi [xns],2,Eurasia
0.190034081,0.606898155,0.49266859,Pattani [lae],2,Eurasia
0.64062118,0.907174659,0.406503841,Amoy [nan],2,Eurasia
0.706025879,0.176064985,0.793778099,Mali [gcc],Baining,Papuanesia
0.226094782,0.523333506,0.277019961,Proto-IndoEuropean [xxx-25],3,Eurasia
0.79989398,0.351424859,0.597521434,Proto-Oceanic [xxx-26],1,Papuanesia
0.990258263,0.487695249,0.536080263,Proto-Austronesian [xxx-22],1,Papuanesia
0.85942918,0.426282934,0.264645981,Wuvulu [wuv],1,Papuanesia
0.825775684,0.420057374,0.595119383,Rote [twu],1,Papuanesia
0.899102881,0.409569763,0.758211627,Dobel [kvo],1,Papuanesia
0.694898721,0.749902655,0.506809887,Hlai [lic],Tai-Kadai,Eurasia
0.266202515,0.210036997,0.480296246,Nen [nqn],South New Guinea,Papuanesia
0.072651909,0.406398536,0.604090067,Yamphu [ybi],2,Eurasia
0.229934591,0.434287836,0.6591865,Cogtse Gyarong [jya],2,Eurasia
0.920315122,0.557833093,0.573351965,Nahavaq [sns],1,Papuanesia
0.794429078,0.511227013,0.647821243,Abma [app],1,Papuanesia
0.739860222,0.617695786,0.867486573,Abui [abz],Timor-Alor-Pantar,Papuanesia
0.160272064,0.777362204,0.569539181,Kurtöp [xkz],2,Eurasia
0.754505657,0.576463027,0.619988475,Kesui [wah],1,Papuanesia
0.733285057,0.628752649,0.644804626,Onin [oni],1,Papuanesia
0.661712319,0.532761888,0.652287698,Uruangnirin [urn],1,Papuanesia
0.720362611,0.533990159,0.596906256,Hiw [hiw],1,Papuanesia
0.655109137,0.65926663,0.656356463,Arguni [agf],1,Papuanesia
0.704507926,0.55079973,0.679796147,Tehit Imyan [kps-2],West Papuan,Papuanesia
0.787675587,0.88771312,0.427305108,Luangiua [ojv],1,Papuanesia
0.328463186,0.324408368,0.743356513,Eyak [eya],Dene-Yeniseic,North America
0.88695679,0.55163261,0.439568461,Dohoi [otd],1,Papuanesia
0.096003563,0.717914544,0.532677029,Dzongkha [dzo],2,Eurasia
0.026776777,0.362619851,0.656805093,Thulung [tdh],2,Eurasia
0.391478828,0.909554805,0.620075298,Turung [try],2,Eurasia
0.197469707,0.736610776,0.714994426,Lhomi [lhm],2,Eurasia
0.738453297,0.462874362,0.565450341,Wooi [wbw],1,Papuanesia
0.216568712,0.22652462,0.63761644,Berik [bkl],Trans New Guinea,Papuanesia
0.743137644,0.517387159,0.655864218,Wandamen [wad],1,Papuanesia
0.79791304,0.81798832,0.585424522,Tai Aiton [aio],Tai-Kadai,Eurasia
0.278532568,0.513220016,0.221943575,Gothic [got],3,Eurasia
0.773437174,0.543106358,0.383149647,Pendau [ums],1,Papuanesia
0.385344295,0.607408176,0.796534211,Dom [doa],Trans New Guinea,Papuanesia
0.330414105,0.80289126,0.472259852,Kunjen [kjn],6,Australia
0.350478813,0.803768491,0.437447892,Gabigabi [xxx-11],6,Australia
0.372713903,0.71098031,0.4814015,Dharawal [tbh],6,Australia
0.328380641,0.729194483,0.476960112,Nyungar [nys],6,Australia
0.172887742,0.431238526,0.284110812,Sindhi [snd],3,Eurasia
0.652288311,0.076824465,0.417824041,Chinook [chh],Chinook,North America
0.764813388,0.4196342,0.504011136,Banggai [bgz],1,Papuanesia
0.891178668,0.552239217,0.509284176,Tengger [tes],1,Papuanesia
0.333452122,0.391280509,0.663817061,Momu [fqs],Kwomtari,Papuanesia
0.294725982,0.449979219,0.505958098,Dharuk [xxx-8],6,Australia
0.749190788,0.584737255,0.560498776,Uab Meto [aoz],1,Papuanesia
0.65187552,0.642847196,0.838985783,Bunaq [bfn],Timor-Alor-Pantar,Papuanesia
0.995108871,0.563617246,0.502869146,Bunun [bnn],1,Papuanesia
0.433371999,0.076492052,0.600285175,Sierra Popoluca [poi],Totozoquean-Chitimacha,North America
0.083935641,0.31190041,0.566018037,Iñupiaq [esi],Eskimo-Aleut,North America
0.232693476,0.35532806,0.622656656,Aguaruna [agr],Jivaroan,South America
0.278257229,0.683430745,0.515817621,Atong [aot],2,Eurasia
0.398081741,0.922037055,0.685206479,Na [nbf-2],2,Eurasia
0.676248481,0.804111854,0.559286162,Maonan [mmd],Tai-Kadai,Eurasia
0.739054141,0.592683241,0.564009158,Sika [ski],1,Papuanesia
0.909428296,0.625921577,0.504667949,Gayo [gay],1,Papuanesia
0.88641167,0.367722188,0.565090432,Pitu Ulunna Salu [ptu],1,Papuanesia
0.786218348,0.472663603,0.704563229,Lelepa [lpa],1,Papuanesia
0.423232257,0.318301045,0.677893522,Inanwatan [szp],Trans New Guinea,Papuanesia
0.725900303,0.632764892,0.895609394,Klon [kyo],Timor-Alor-Pantar,Papuanesia
